base_path,filename,ax0_min,ax0_max,ax1_min,ax1_max,confidence,year,diagnosis,diagnosis_raw
//nmbu.no/LargeFile/Project/CubiAI/sortering/dicom sortert level 2,1.2.276.0.95.29165.1.20210929.131803.0.2.25929.dcm,416,573,555,713,0.99881256,21,3,"3, OCD"
//nmbu.no/LargeFile/Project/CubiAI/sortering/dicom sortert level 2,1.2.276.0.95.29374.1.20211019.93955.0.2.7719.dcm,633,770,715,852,0.9998878,21,3,"3, OCD"
//nmbu.no/LargeFile/Project/CubiAI/sortering/dicom sortert level 2,1.2.276.0.95.31328.1.20210128.141041.0.2.74313.dcm,870,1035,734,899,0.9999387,21,3,"3, OCD"
//nmbu.no/LargeFile/Project/CubiAI/sortering/dicom sortert level 2,1.2.392.200036.9125.9.0.537872878.95233280.2556726946.dcm,817,1017,1034,1234,0.99998116,21,3,"3, OCD"
//nmbu.no/LargeFile/Project/CubiAI/sortering/dicom sortert level 2,1.2.392.200036.9125.9.0.537873134.110109952.2556726946.dcm,907,1102,1101,1296,0.99998784,21,3,"3, OCD"
//nmbu.no/LargeFile/Project/CubiAI/sortering/dicom sortert level 2,1.2.392.200036.9125.9.0.537873902.195175680.2556726946.dcm,930,1132,1129,1330,0.9999615,21,3,"3, OCD"
//nmbu.no/LargeFile/Project/CubiAI/sortering/dicom sortert level 2,1.2.392.200036.9125.9.0.537874414.220865792.2556726946.dcm,794,991,1175,1372,0.9996394,21,3,"3, OCD"
//nmbu.no/LargeFile/Project/CubiAI/sortering/dicom sortert level 2,1.2.840.113704.7.1.0.592924817317386.1636020197.14808.dcm,482,630,332,480,0.9999974,21,3,"3, OCD"
//nmbu.no/LargeFile/Project/CubiAI/sortering/dicom sortert level 2,1.2.840.113704.7.1.0.592924817317386.1636020197.14809.dcm,567,722,474,628,0.999998,21,3,"3, OCD"
//nmbu.no/LargeFile/Project/CubiAI/sortering/dicom sortert level 2,1.2.840.114387.947080150.6976.19246.48337.181710965536747.dcm,532,690,757,915,0.9999927,21,3,"3, OCD"
//nmbu.no/LargeFile/Project/CubiAI/sortering/dicom sortert level 2,1.3.51.0.7.14246141393.55581.58442.47094.19394.31701.61624.dcm,831,1057,747,974,0.97847456,21,3,"3, OCD"
//nmbu.no/LargeFile/Project/CubiAI/sortering/dicom sortert level 2,1.3.51.0.7.2794700433.25992.9292.35103.63293.13029.34374.dcm,1002,1239,703,943,0.9932202,21,3,"3, OCD"
